project_id,project_name,year
ssusa19,Snapshot USA 2019,2019
ssusa20,Snapshot USA 2020,2020
ssusa21,Snapshot USA 2021,2021
ssusa22,Snapshot USA 2022,2022
ssusa23,Snapshot USA 2023,2023
sucp19,Seattle Urban Carnivore Project,2019
sucp22,Seattle Urban Carnivore Project,2022
sucp23,Seattle Urban Carnivore Project,2023
