deployment_id,site_id,project_id,lat,long,start,end,survey_nights,habitat,feature_type
WA_Kamiak_21_loc_07 09/17/2021,WA_Kamiak_21_loc_07,Snapshot USA 2021,46.8644,-117.16098,9/24/2021,10/15/2021,21,Anthropogenic,Trail game
WA_Kamiak_21_loc_12 09/17/2021,WA_Kamiak_21_loc_12,Snapshot USA 2021,46.86596,-117.16371,9/24/2021,10/15/2021,21,Anthropogenic,Trail game
WA_Kamiak_21_loc_19 09/17/2021,WA_Kamiak_21_loc_19,Snapshot USA 2021,46.86548,-117.1549,9/24/2021,10/15/2021,21,Anthropogenic,Trail game
WA_Smoot_Hill_0012 10/15/2021,WA_Smoot_Hill_0012,Snapshot USA 2021,46.82788,-117.216,10/18/2021,11/12/2021,25,Forest,Trail game
WA_Smoot_Hill_006 10/15/2021,WA_Smoot_Hill_0006,Snapshot USA 2021,46.82601,-117.21317,10/16/2021,11/10/2021,25,Forest,Trail game
WA_Smoot_Hill_01 10/15/2021,WA_Smoot_Hill_01,Snapshot USA 2021,46.82758,-117.21301,10/16/2021,11/10/2021,25,Forest,Trail game
WA_Smoot_Hill_014 10/15/2021,WA_Smoot_Hill_014,Snapshot USA 2021,46.82626,-117.22653,10/16/2021,11/10/2021,25,Forest,Trail game
WA_Smoot_Hill_016 10/15/2021,WA_Smoot_Hill_016,Snapshot USA 2021,46.82444,-117.23443,10/16/2021,11/10/2021,25,Forest,Trail game
WA_Smoot_Hill_017 10/15/2021,WA_Smoot_Hill_017,Snapshot USA 2021,46.82974,-117.2294,10/16/2021,11/10/2021,25,Forest,Trail game
WA_Smoot_Hill_019 10/15/2021,WA_Smoot_Hill_019,Snapshot USA 2021,46.82757,-117.2343,10/15/2021,11/10/2021,26,Forest,Trail game
WA_Smoot_Hill_02 10/15/2021,WA_Smoot_Hill_02,Snapshot USA 2021,46.82925,-117.21535,10/16/2021,11/10/2021,25,Forest,Trail game
WA_Smoot_Hill_03 10/15/2021,WA_Smoot_Hill_03,Snapshot USA 2021,46.82801,-117.22096,10/16/2021,11/10/2021,25,Forest,Trail game
WA_Smoot_Hill_04 10/15/2021,WA_Smoot_Hill_04,Snapshot USA 2021,46.82614,-117.23397,10/16/2021,11/10/2021,25,Forest,Trail game
WA_Smoot_Hill_05 10/15/2021,WA_Smoot_Hill_05,Snapshot USA 2021,46.82782,-117.22375,10/16/2021,11/5/2021,20,Forest,Trail game
